Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Mark Kolozsvary,27,us US,R,R,5' 7",185,Sep 4 1995,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,,kolozma01
Joey Krehbiel,30,us US,R,R,6' 3",250,Dec 20 1992,4,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,krehbjo01
Dean Kremer,27,us US,R,R,6' 2",210,Jan 7 1996,4,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,1.5,$731200,,kremede01
Josh Lester,28,us US,L,R,6' 3",225,Jul 17 1994,2,11,6,11,8,1,0,5,0,1,0,0,0,1,1,2,3,0,-0.2,,,lestejo02
Jorge López,30,pr PR,R,R,6' 3",200,Feb 10 1993,8,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,lopezjo02
Jorge Mateo,28,do DO,R,R,6' 1",200,Jun 23 1995,4,116,97,116,113,0,0,0,0,0,110,0,4,0,4,2,3,9,0.8,$2000000,,mateojo01
James McCann,33,us US,R,R,6' 3",235,Jun 13 1990,10,70,61,69,62,1,59,2,0,0,0,0,0,0,0,7,3,0,0.6,$12150000,,mccanja02
Ryan McKenna,26,us US,R,R,5' 11",195,Feb 14 1997,3,89,33,88,88,1,0,0,0,0,0,15,25,55,87,1,12,11,0.5,$725800,,mckenry01
John Means,30,us US,L,L,6' 4",230,Apr 24 1993,6,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$2975000,,meansjo01
Ryan Mountcastle,26,us US,R,R,6' 4",220,Feb 18 1997,4,115,108,115,90,0,0,90,0,0,0,0,0,0,0,23,7,0,2.1,$738400,,mountry01
Cedric Mullins,28,us US,L,L,5' 9",175,Oct 1 1994,6,116,103,116,110,0,0,0,0,0,0,0,110,0,110,3,7,1,2.8,$4100000,,mullice01
Ryan O'Hearn,29,us US,L,L,6' 3",220,Jul 26 1993,6,112,89,112,92,0,0,70,0,0,0,6,0,23,29,14,21,0,1.2,$1400000,,ohearry01
Joey Ortiz,24,us US,R,R,5' 9",190,Jul 14 1998,1st,15,11,15,14,0,0,0,7,4,3,0,0,0,0,0,3,0,0.0,,,ortizjo06
Cionel Pérez,27,cu CU,R,L,6' 0",175,Apr 21 1996,6,65,0,3,65,65,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$732400,,perezci01
Grayson Rodriguez,23,us US,L,R,6' 5",230,Nov 16 1999,1st,23,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,,rodrigr01
Adley Rutschman,25,us US,B,R,6' 2",230,Feb 6 1998,2,154,149,154,110,0,110,0,0,0,0,0,0,0,0,46,5,0,4.3,$733900,All-Star,rutscad01
Anthony Santander,28,ve VE,B,R,6' 2",230,Oct 19 1994,7,153,151,153,105,0,0,12,0,0,0,1,0,97,98,47,2,0,3.0,$7400000,,santaan02
Kyle Stowers,25,us US,L,L,6' 3",215,Jan 2 1998,2,14,9,14,10,0,0,0,0,0,0,4,0,6,10,1,2,2,-0.3,$722200,,stoweky01
Ramón Urías,29,mx MX,R,R,5' 10",185,Jun 3 1994,4,116,96,116,113,0,0,13,22,92,0,0,0,0,0,3,10,1,1.8,$734700,,uriasra01
Chris Vallimont,26,us US,R,R,6' 5",240,Mar 18 1997,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,vallich01
Terrin Vavra,26,us US,L,R,6' 0",185,May 12 1997,2,27,14,27,20,0,0,0,1,2,0,6,0,13,19,4,5,1,-0.5,$722100,,vavrate01
Nick Vespi,27,us US,L,L,6' 3",235,Oct 10 1995,2,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,vespini01
Austin Voth,31,us US,R,R,6' 2",215,Jun 26 1992,6,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$1850000,,vothau01
Jacob Webb,29,us US,R,R,6' 2",210,Aug 15 1993,4,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,,webbja01
Tyler Wells,28,us US,R,R,6' 8",260,Aug 26 1994,3,25,20,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,1.7,$732400,,wellsty01
Jordan Westburg,24,us US,R,R,6' 2",210,Feb 18 1999,1st,68,54,68,66,0,0,0,50,29,0,0,0,0,0,1,10,1,1.2,,,westbjo01
Bruce Zimmermann,28,us US,L,L,6' 1",220,Feb 9 1995,4,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,zimmebr02
